stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
286,928,SHREWSBURY ST + PRENTICE ST,,42.271221,-71.774986,,,,,,0
287,929,SHREWSBURY ST + DANIELS ST,,42.272651,-71.771918,,,,,,0
288,930,SHREWSBURY ST + AITCHISON ST,,42.273288,-71.770503,,,,,,0
289,1148,South Rd + UMASS,,42.275789,-71.762795,,,,,,0
290,16,BELMONT ST + LAKE AVE,,42.274046,-71.758298,,,,,,0
292,4505,BOSTON TRPK + QUINSIGAMOND AVE,,42.27429,-71.75278,,,,,,0
293,4510,BOSTON TRPK + WHITE CITY PLAZA,,42.274598,-71.750142,,,,,,0
294,4515,BOSTON TRPK + SVENSON RD,,42.275091,-71.744341,,,,,,0
295,4520,Maple Ave at Fairlawn Plaza,,42.276379,-71.736644,,,,,,0
305,1156,Target Lincoln Plaza,,42.292612,-71.77419,,,,,,0
306,1157,Stop & Shop Lincoln Plaza,,42.29409,-71.77187,,,,,,0
307,533,Lincoln St + Mcdonalds,,42.29525,-71.77271,,,,,,0
308,534,Lincoln St at Tyler Prentice Rd,,42.29582,-71.7709,,,,,,0
309,535,Lincoln St + Pasadena Pkwy,,42.29647,-71.76942,,,,,,0
310,536,Lincoln St + Benson Ave,,42.29753,-71.76754,,,,,,0
311,1199,Lincoln St +  Opp 640 Lincoln St,,42.29763,-71.76462,,,,,,0
314,1200,North Lake Ave + 425 North Lake Ave,,42.29435,-71.75882,,,,,,0
315,1201,Plantation St at 630 Plantation,,42.292076,-71.76009,,,,,,0
316,809,Plantation St + Notre Dame,,42.28825,-71.76199,,,,,,0
317,1270,PLANTATION ST + PLANTATION TOWERS,,42.28372,-71.76266,,,,,,0
318,1203,Plantation St+ North Rd,,42.27915,-71.76495,,,,,,0
319,509,Lake Ave + Wigwam Ave,,42.27204,-71.75914,,,,,,0
320,513,Lake Ave + Lakeview St,,42.26815,-71.75584,,,,,,0
321,512,Lake Ave + Anna St,,42.266323,-71.755461,,,,,,0
322,511,Lake Ave + Othello Rd,,42.26467,-71.75481,,,,,,0
323,503,Lake Ave + Nonquit St,,42.26189,-71.7543,,,,,,0
324,510,Lake Ave + Hamilton St,,42.26042,-71.75404,,,,,,0
325,425,Hamilton St + Park Road Rmtramce,,42.260143,-71.754637,,,,,,0
326,426,Hamilton St + Coburn Ave,,42.25983,-71.75848,,,,,,0
327,413,Hamilton St + Palisades St,,42.25929,-71.76023,,,,,,0
328,414,Hamilton St + Middlesex Ave,,42.2595,-71.76338,,,,,,0
329,415,Hamilton St + Ralph Ave,,42.25956,-71.76434,,,,,,0
331,417,Hamilton St + Harold St,,42.25893,-71.76593,,,,,,0
332,418,Hamilton St + Anderson Ave,,42.25836,-71.76686,,,,,,0
333,420,Hamilton St + Harrington Way,,42.2575,-71.76915,,,,,,0
334,421,Hamilton St + Gordon St,,42.257073,-71.770507,,,,,,0
335,409,Hamilton St + Warner Ave,,42.256536,-71.773195,,,,,,0
337,422,Hamilton St + Delmont Ave,,42.256459,-71.775608,,,,,,0
339,411,Hamilton St + Pilgrim Ave,,42.256235,-71.77893,,,,,,0
340,412,Hamilton St + Ingleside Ave,,42.25619,-71.7802,,,,,,0
341,424,Hamilton St + Plantation St,,42.25609,-71.78228,,,,,,0
342,304,Grafton St + Orient St,,42.25602,-71.78568,,,,,,0
343,305,Grafton St + Fay St,,42.256202,-71.78763,,,,,,0
344,319,Grafton St + Mendon St,,42.25647,-71.78924,,,,,,0
345,297,Grafton St + Penn Ave,,42.25728,-71.79106,,,,,,0
346,1202,Plantation Towers,,42.286089,-71.765226,,,,,,0
347,260,Grafton St + Coral St,,42.257333,-71.791563,,,,,,0
348,261,Grafton St + Waverly St,,42.25653,-71.78994,,,,,,0
349,262,Grafton St + Mendon St,,42.256173,-71.78797,,,,,,0
350,263,Grafton St + Houghton St,,42.2559,-71.78601,,,,,,0
351,387,Hamilton St + Dupont St,,42.255833,-71.783951,,,,,,0
352,388,Hamilton St + Plantation St,,42.25593,-71.78198,,,,,,0
353,389,Hamilton St + Ingleside Ave,,42.25598,-71.78052,,,,,,0
355,391,Hamilton St + Pilgrim Ave,,42.256026,-71.778861,,,,,,0
356,393,Hamilton St + Delmont Ave,,42.2562,-71.77602,,,,,,0
358,395,Hamilton St + Warner Ave,,42.256328,-71.772817,,,,,,0
359,397,Hamilton St + Trahan Ave,,42.257111,-71.769756,,,,,,0
360,398,Hamilton St + Elmire Ave,,42.257274,-71.769217,,,,,,0
361,399,Hamilton St + Ernes Ave,,42.25781,-71.76744,,,,,,0
363,401,Hamilton St + Harold St,,42.25899,-71.76535,,,,,,0
364,402,Hamilton St + Commonwealth Ave,,42.259164,-71.764995,,,,,,0
