trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
835020,6,4,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,59,shp-6-51,0,0
639070,6,5,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,38,shp-6-51,0,0
604020,6,4,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,59,shp-6-51,0,0
1706070,6,5,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,38,shp-6-51,0,0
662020,6,4,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,57,shp-6-51,0,0
910020,6,4,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,57,shp-6-51,0,0
1729020,6,4,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,57,shp-6-51,0,0
2101070,6,5,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,50,shp-6-51,0,0
1968070,6,5,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,50,shp-6-51,0,0
121060,6,1,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,59,shp-6-51,0,0
1218060,6,1,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,57,shp-6-51,0,0
1197090,6,3,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,38,shp-6-51,0,0
1729060,6,1,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,57,shp-6-51,0,0
1794090,6,3,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,38,shp-6-51,0,0
1497070,6,5,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,38,shp-6-51,0,0
1663020,6,4,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,57,shp-6-51,0,0
1219060,6,1,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,59,shp-6-51,0,0
1150020,6,4,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,59,shp-6-51,0,0
1150060,6,1,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,59,shp-6-51,0,0
1219020,6,4,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,59,shp-6-51,0,0
1053070,6,5,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,38,shp-6-51,0,0
1110090,6,3,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,38,shp-6-51,0,0
848070,6,5,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,50,shp-6-51,0,0
835060,6,1,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,59,shp-6-51,0,0
996090,6,3,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,50,shp-6-51,0,0
