route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
33,0_5,0_5329238,Central Hub,1,50,L33P69
6,0_2,0_2329332,Central Hub,1,33,L6P26
7,0_1,0_1329365,Washington Heights,0,15,L7P43
5,0_3,0_3329303,Broad Meadow Brook Audobon Center,0,5,L5P45
5,0_4,0_4329270,Broad Meadow Brook Audobon Center,0,5,L5P45
33,0_5,0_5329233,Central Hub,1,27,L33P68
7,0_1,0_1329360,Washington Heights,0,7,L7P43
6,0_2,0_2329331,Central Hub,1,33,L6P26
5,0_3,0_3329298,Central Hub,1,5,L5P43
5,0_4,0_4329277,Broad Meadow Brook Audobon Center,0,5,L5P45
4,0_5,0_5329244,Millbury Center,0,4,L4P52
4,0_5,0_5329247,Shoppes at Blackstone Valley,0,4,L4P51
7,0_1,0_1329363,Washington Heights,0,15,L7P43
6,0_2,0_2329330,Central Hub,1,39,L6P26
6,0_3,0_3329309,West Tatnuck via Chandler St.,0,39,L6P24
5,0_4,0_4329276,Broad Meadow Brook Audobon Center,0,5,L5P45
7,0_1,0_1329366,Washington Heights,0,7,L7P43
6,0_2,0_2329329,Central Hub,1,39,L6P26
5,0_3,0_3329296,Central Hub,1,5,L5P43
5,0_4,0_4329267,Broad Meadow Brook Audobon Center,0,5,L5P45
33,0_5,0_5329234,Central Hub,1,50,L33P68
7,0_1,0_1329361,Washington Heights,0,15,L7P43
6,0_2,0_2329328,Central Hub,1,39,L6P26
5,0_3,0_3329299,Central Hub,1,5,L5P43
5,0_4,0_4329266,Broad Meadow Brook Audobon Center,0,5,L5P45
4,0_5,0_5329245,Shoppes at Blackstone Valley,0,4,L4P51
33,0_5,0_5329240,Central Hub,1,27,L33P68
7,0_1,0_1329372,Central Hub,1,15,L7P42
7,0_2,0_2329343,Washington Heights,0,15,L7P43
6,0_3,0_3329310,West Tatnuck via Chandler St.,0,39,L6P24
5,0_4,0_4329273,Broad Meadow Brook Audobon Center,0,5,L5P45
7,0_1,0_1329375,Central Hub,1,7,L7P41
7,0_2,0_2329342,Washington Heights,0,7,L7P43
5,0_3,0_3329305,Central Hub,1,5,L5P43
5,0_4,0_4329272,Broad Meadow Brook Audobon Center,0,5,L5P45
4,0_5,0_5329243,Shoppes at Blackstone Valley,0,4,L4P51
7,0_1,0_1329362,Washington Heights,0,7,L7P43
6,0_2,0_2329341,West Tatnuck via Chandler St.,0,33,L6P24
6,0_3,0_3329308,West Tatnuck via Chandler St.,0,39,L6P24
5,0_4,0_4329279,Central Hub,1,5,L5P43
4,0_5,0_5329246,Shoppes at Blackstone Valley,0,4,L4P51
6,0_2,0_2329340,Central Hub,1,33,L6P26
7,0_1,0_1329373,Central Hub,1,7,L7P41
6,0_3,0_3329311,West Tatnuck via Chandler St.,0,39,L6P24
5,0_4,0_4329278,Central Hub,1,5,L5P43
4,0_5,0_5329241,Shoppes at Blackstone Valley,0,4,L4P51
7,0_2,0_2329371,Central Hub,1,7,L7P41
7,0_1,0_1329400,Washington Heights,0,7,L7P43
6,0_3,0_3329338,West Tatnuck via Chandler St.,0,33,L6P24
