stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station,wheelchair_boarding,vehicle_type
0_824,824,Pleasant St + Greenleaf St,,42.2706279,-71.827786,,0,1_824,,3
0_825,825,Pleasant St + Elmwood St,,42.27147,-71.8294198,,0,1_CroBru,,3
0_826,826,Pleasant St + Intervale Rd,,42.2726799,-71.8306101,,0,1_826,,3
0_4515,4515,Boston Trpk at Svenson Rd,,42.2750909,-71.7443411,,0,1_4515,,3
0_827,827,Pleasant St + Lenox St,,42.2748601,-71.83313,,0,1_827,,3
0_1009,1009,Webster Square Plaza,Comment,42.2407576,-71.8415185,,0,1_WebSq,,3
0_829,829,Pleasant St + Kenilworth Rd,,42.2769099,-71.8363901,,0,1_829,,3
0_4530,4530,Maple Ave at Oak,,42.2857009,-71.7278662,,0,1_4530,,3
0_1022,1022,Tacoma St + Pasadena PKWY,,42.3015,-71.7651399,,0,1_1022,,3
0_1264,1264,Price Chopper Pulman St,,42.3239978,-71.7979648,,0,1_PriChp,,3
0_1021,1021,Tacoma St at Pasadena 1,,42.3042111,-71.7675711,,0,1_1021,,3
0_1263,1263,Vernon St at Dorchester St,,42.2514559,-71.7953701,,0,1_1263,,3
0_1020,1020,Sunny Hill Drive,Comment,42.2830301,-71.8801798,,0,1_SHill,,3
0_1261,1261,Worc Recov Ctr,,42.2766753,-71.767452,,0,1_StaHos,,3
0_1260,1260,Park Ave + Coes St,,42.2488501,-71.8323502,,0,1_1260,,3
0_1259,1259,Washington Heights,Comment,42.2578816,-71.8547023,,0,1_WaHts,,3
0_1016,1016,Summer St at Thomas,,42.2682642,-71.7960563,,0,1_PluVil,,3
0_1258,1258,Worc Recov Ctr,,42.2765067,-71.7676697,,0,1_StaHos,,3
0_1015,1015,Summer St at Thomas,,42.268256,-71.7959428,,0,1_PluVil,,3
0_1014,1014,Summer St and Hampton Inn,,42.2670524,-71.7958183,,0,1_1014,,3
0_830,830,Pleasant St + Flagg St,,42.2774099,-71.8382702,,0,1_830,,3
0_1013,1013,Summer St and East Central St,,42.26705,-71.7955931,,0,1_1013,,3
0_1255,1255,Mower St at 31 Mower,,42.278696,-71.856257,,0,1_PlSO,,3
0_831,831,Pleasant St + Guild Rd,,42.2773499,-71.84007,,0,1_831,,3
0_832,832,Pleasant St + Moore Ave,,42.2774901,-71.8415898,,0,1_832,,3
0_833,833,Pleasant St + Moreland St,,42.2781301,-71.8437601,,0,1_PlMore,,3
0_835,835,Pleasant St + Wrentham Rd,,42.27876,-71.84646,,0,1_835,,3
0_836,836,Pleasant St + Chesterfield Rd,,42.2783401,-71.8488,,0,1_836,,3
0_4525,4525,Maple Ave at Commonwealth,,42.2827301,-71.7327461,,0,1_4525,,3
0_838,838,Pleasant St + Pomona Rd,,42.2781401,-71.8521499,,0,1_838,,3
0_4540,4540,Maple Ave at Main St,,42.2959529,-71.7159448,,0,1_4540,,3
0_1033,1033,Autumn Woods Apts,Comment,42.2230883,-71.8048681,,0,1_AutWod,,3
0_1031,1031,Great Brook Valley,Comment,42.3017901,-71.7650502,,0,1_GBV,,3
